period,nominal_gdp,log_nominal_gdp,nominal_gdp_growth,bank_credit,log_bank_credit,log_bank_credit_growth,leverage_ratiotrc_to_ta,growth_in_leverage_ratio,total_assets,tier_i_capital,tier_ii_capital,total_regulatory_capital,capital_log_level,total_rwa,crar,crar_growth,mandatory_crar,capital_requirement,capital_surplus,capital_surplus_ratio,capital_surplus_ratio_growth,risk_weights,change_in_rw,net_npa,log_net_npa,net_npa_growth,net_npa_ratio,year
2002,24926137846820,30.84693808155976,,5897230000000,29.405503865069143,,0.06004803062431293,,15355120000000,632074854000,289969862000.0,922044716000.0,27.54985955824237,7673214264000,0.12016407782666864,,0.09,690589283760.0,231455432240.0,0.030164077826668648,,0.49971698456280383,,351709817000.0,26.586072289030817,,0.05963983378637089,2002
2003,27925301413900,30.960554254519383,0.1136161729596239,7292150000000,29.6178195430216,0.2123156779524571,0.06308248995430076,0.003034459329987825,16967460000000,713932815000,356416810000.0,1070349625000.0,27.699006463366892,8443152043000,0.1267713313166496,0.054985263561974286,0.09,759883683870.0,310465941130.0,0.036771331316649614,0.21904377544535325,0.49760848370940614,-0.002108500853397699,332518246000.0,26.5299605707247,-0.05611171830611639,0.045599479714487495,2003
2004,31863319237460,31.092476596950615,0.13192234243123124,8407850000000,29.760186909191823,0.14236736617022316,0.06341024533194785,0.00032775537764709317,19747530000000,785222219000,466973503000.0,1252195722000.0,27.855919703864625,9697742854000,0.12912238866836012,0.018545654820316095,0.09,872796856860.0,379398865140.0,0.039122388668360125,0.06393723772100635,0.4910863715107662,-0.006522112198639962,245490390000.0,26.226523638811965,-0.303436931912735,0.02919776042626831,2004
2005,36321246607130,31.22342399195616,0.13094739500554553,11004280000000,30.02930540395977,0.26911849476794814,0.07042750135957876,0.007017256027630911,23555090000000,1089152602000,569773531000.0,1658926133000.0,28.137191601130517,12960690295000,0.12799674209019435,-0.008717671581005991,0.09,1166462126550.0,492464006450.0,0.03799674209019435,-0.028772439937342822,0.5502288590279214,0.05914248751715523,212099112000.0,26.0803195118039,-0.1462041270080654,0.019274238023750757,2005
2006,42546289837870,31.38161377179649,0.1581897798403311,15070770000000,30.343778222152164,0.31447281819239237,0.07944520649436099,0.009017705134782228,27858630000000,1665709480000,547525133000.0,2213234613000.0,28.425476187193816,17969921067000,0.12316329074279511,-0.03776229979348451,0.09,1617292896030.0,595941716970.0,0.033163290742795115,-0.12720699411349226,0.6450396543907579,0.09481079536283654,197584480000.0,26.009432076665433,-0.07088743513846651,0.01311044359379116,2006
2007,48986620590550,31.522568327582015,0.14095455578552318,19311890000000,30.591742084327155,0.24796386217499133,0.0855010999828611,0.006055893488500108,34599630000000,2000399795000,957906629000.0,2958306424000.0,28.71563806646787,24110714058000,0.12269675700535405,-0.0037879284860562186,0.09,2169964265220.0,788342158780.0,0.03269675700535406,-0.014067775754202393,0.6968488986153898,0.051809244224631845,207127238000.0,26.056599117704167,0.04716704103873326,0.010725373746432896,2007
2008,55141523846620,31.640924157098446,0.11835582951643175,23619140000000,30.793078516212727,0.20133643188557215,0.09391208092800878,0.00841098094514768,43261660000000,2827818968000,1234973547000.0,4062792515000.0,29.03289166468457,31289255432000,0.12984625101832625,0.05826962494746475,0.09,2816032988880.0,1246759526120.0,0.039846251018326256,0.21866064612467462,0.7232560061726712,0.026407107557281373,248106519000.0,26.23712400299425,0.18052488529008315,0.010504468790989003,2008
2009,63664065417160,31.784641397150292,0.1437172400518456,27755490000000,30.954454774391504,0.16137625817877677,0.0930268350270929,-0.0008852459009158764,52386420000000,3332812367000,1540530484000.0,4873342851000.0,29.21480123458974,34889368216000,0.13967988244525226,0.0757328867780565,0.09,3140043139440.0,1733299711560.0,0.04967988244525226,0.24678937605455725,0.6660002385351013,-0.0572557676375699,321147738000.0,26.49516709718776,0.25804309419351057,0.011570602356506766,2009
2010,76344721043680,31.966280003666196,0.1816386065159037,32447880000000,31.110656225665576,0.1562014512740717,0.09414110404559539,0.0011142690185024923,60269250000000,3950998952000,1722814783000.0,5673813735000.0,29.366882623965296,39013952312000,0.1454303755135015,0.04116908582381682,0.09,3511255708080.0,2162558026920.0,0.055430375513501495,0.11575093951935851,0.6473276556784762,-0.018672582856625097,374076226000.0,26.647725426428153,0.15255832924039225,0.011528525931432191,2010
2011,87363287113730,32.101096254434864,0.13481625076866877,39420830000000,31.30531547273334,0.19465924706776505,0.09331391107662418,-0.0008271929689712132,71833980000000,4745029337000,1958080285000.0,6703109622000.0,29.533592657340417,47248663350000,0.14186876721455444,-0.024490126539048935,0.09,4252379701500.0,2450729920500.0,0.05186876721455444,-0.0642537285008927,0.6577480928941986,0.010420437215722389,400653346000.0,26.716362416564547,0.0686369901363939,0.010163493411985492,2011
2012,99440131041530,32.230576880925085,0.12948062649022063,46118520000000,31.462235720615027,0.15692024788168624,0.09350547249152434,0.00019156141490016265,83208900000000,5671616139000,2108871371000.0,7780487510000.0,29.682640114109397,54620632583000,0.14244594289853724,0.004068377383655641,0.09,4915856932470.0,2864630577530.0,0.05244594289853724,0.011127615229321354,0.6564277689405821,-0.0013203239536164757,622825420000.0,27.15753209174448,0.4411696751799319,0.013504887407488357,2012
2013,112335216116390,32.35250851815237,0.12193163722728428,52604590000000,31.59382449422249,0.13158877360746146,0.09258852112205347,-0.0009169513694708697,95899530000000,6580240352000,2298955307000.0,8879195659000.0,29.814732089888665,63966179941000,0.13881078512410522,-0.02551955991488858,0.09,5756956194690.0,3122239464310.0,0.04881078512410522,-0.06931246867778987,0.6670124445969652,0.010584675656383102,902896238000.0,27.528873475676793,0.37134138393231453,0.0171638299623664,2013
2014,124679590000000,32.45676828240393,0.1042597642515588,59940960000000,31.724381193704826,0.13055669948233728,0.08380655278473467,-0.008781968337318799,109759290000000,7109914691000,2088633040000.0,9198547731000.0,29.850066732196993,70649094960000,0.13020050343472936,-0.062028909941527585,0.09,6358418546400.0,2840129184600.0,0.04020050343472936,-0.17640121271320566,0.6436730317770823,-0.023339412819882832,1357502517000.0,27.93666774289643,0.40779426721963574,0.022647326919688973,2014
2015,137718740000000,32.55623460535905,0.09946632295512359,65364200000000,31.810995823901667,0.08661463019684135,0.08635716518355792,0.002550612398823246,120369910000000,8276042947000,2118761254000.0,10394804201000.0,29.97232720117849,80343866897000,0.12937893833671252,-0.006309999395883279,0.09,7230948020730.0,3163856180270.0,0.03937893833671252,-0.020436686802958987,0.6674746778243832,0.02380164604730084,2217277848000.0,28.427301364826434,0.49063362193000515,0.03392189987791482,2015
2016,153916690000000,32.66743259793696,0.11119799257790675,72496150000000,31.914554572930864,0.10355874902919737,0.0887079990241665,0.0023508338406085794,131292890000000,9454543195000,2192186363000.0,11646729558000.0,30.086046531894528,87466134551000,0.13315701691617562,0.02920165080989106,0.09625,8418615450533.75,3228114107466.25,0.03690701691617562,-0.06277267811032772,0.6661909456863963,-0.001283732137986937,3246514582000.0,28.80860310049121,0.38130173566477765,0.04478188954861741,2016
2017,170900420000000,32.7721021636246,0.10466956568764374,78414660000000,31.993032015600416,0.07847744266955203,0.08930669519091429,0.0005986961667477919,141746070000000,10414246277000,2244626791000.0,12658873068000.0,30.169379513516617,92677378415000,0.13659075477205276,0.025787134132320866,0.1025,9499431287537.5,3159441780462.5,0.03409075477205277,-0.07630695676432575,0.6538267933283795,-0.0123641523580168,3991582845177.0,29.01520897121635,0.20660587072513792,0.05090352805428219,2017
2018,188996684445858,32.87275058821981,0.10064842459520662,86254250000000,32.088320445988344,0.095288430387928,0.08666920451559852,-0.002637490675315768,152550320000000,11147037552000,2074377331000.0,13221414883000.0,30.212858970570757,95595662513000,0.13830559395100198,0.012554577224578586,0.10875,10396028298288.75,2825386584711.25,0.029555593951001977,-0.13303198627824658,0.626650029400135,-0.02717676392824442,4832420765000.0,29.206368651619258,0.1911596804029081,0.056025306173318995,2018
2019,201035928565946,32.93450475709822,0.06175416887840868,97717220000000,32.21309891328468,0.12477846729633768,0.0848873937228176,-0.001781810792780919,166010470000000,12051813211000,2040382918000.0,14092196129000.0,30.276642294065443,98467683561000,0.14311493496513492,0.034773293521567626,0.10875,10708360587258.75,3383835541741.25,0.034364934965134916,0.16272185299696526,0.5931414058462698,-0.03350862355386519,3369068098481.62,28.845657293411254,-0.36071135820800393,0.03447773174965088,2019
2020,198540960064970,32.922016542703346,-0.012488214394871022,103708610000000,32.27260625568268,0.05950734239799971,0.085665086031606,0.0007776923087883941,180144260000000,13193326760000,2238746771000.0,15432073531000.0,30.36746915635992,104691517968000,0.14740519414110478,0.02997771809780051,0.10875,11385202579020.0,4046870951980.0,0.038655194141104784,0.12484409414196675,0.5811537817968777,-0.011987624049392132,2745732999000.0,28.64106918584481,-0.20458810756644397,0.02647545848893356,2020
2021,235973985282904,33.09474268302608,0.17272614032273026,109495090000000,32.32690082399711,0.05429456831442536,0.09144223454898757,0.005777148517381578,195788950000000,15548033695000,2355345393000.0,17903379088000.0,30.516010586825256,109866320123000,0.162956027542894,0.10549718747972388,0.115,12634626814145.0,5268752273855.0,0.047956027542894006,0.24061018469698983,0.5611466843404594,-0.020007097456418266,2455214534000.0,28.529235259915094,-0.11183392592971586,0.022423055992739034,2021
2022,268904725712225,33.225378253285555,0.13063557025947858,118913140000000,32.40941442655534,0.08251360255822959,0.09079263379477481,-0.0006496007542127619,216746880000000,17195448050000,2483572052000.0,19679020102000.0,30.610574214747974,117328181922000,0.16772628519107755,0.029273281388305112,0.115,13492740921030.0,6186279180970.0,0.05272628519107754,0.09947149279445225,0.5413142829183977,-0.019832401422061774,1957081829000.0,28.302475616958365,-0.22675964295672912,0.016458078804411354,2022
2023,301229558976518,33.338893744411365,0.11351549112580983,136752353300000,32.549192765857704,0.13977833930236727,0.09459776226138396,0.003805128466609145,243184293688000,19975664683000,3029025317000.0,23004690000000.0,30.766719224113736,134052873561000,0.17160907773850775,0.023149576961099712,0.115,15416080459515.0,7588609540485.0,0.05660907773850775,0.0736405482267365,0.5512398499427221,0.009925567024324455,1312746109004.48,27.903142325456542,-0.3993332915018222,0.00959944072132088,2023
2024,330681453690088,33.43217665236629,0.09328290795492222,164321639300000,32.73284683832485,0.18365407246714938,0.09707871289387186,0.002480950632487905,280805502375000,23910821963158,3349414780924.08,27260236744082.08,30.936450226828413,161919358714550,0.16835687196698665,-0.01895124555401847,0.115,18620726252173.25,8639510491908.828,0.053356871966986644,-0.05745025182257695,0.5766245936958735,0.025384743753151362,1028898276455.04,27.659509711193174,-0.2436326142633689,0.0062614898490429075,2024
