year,gdp_level,gdp_log,gdp_log_growth,bank_credit_level,bank_credit_log,bank_credit_log_growth
1951,102216298940,25.35035698282222,,5470000000,22.4225444533803,
1952,108633470590,25.411245397606752,0.06088841478453233,5220000000,22.375763238840957,-0.04678121453934381
1953,106634333900,25.392671378434514,-0.01857401917223811,5290000000,22.38908408281662,0.01332084397566291
1954,116067053270,25.477433906479906,0.08476252804539186,5380000000,22.405954211120104,0.016870128303484222
1955,109771214380,25.421664167534246,-0.05576973894565995,6230000000,22.552642169745774,0.14668795862566952
1956,111747818680,25.43951055060752,0.01784638307327313,7610000000,22.752729008820005,0.2000868390742312
1957,133139093200,25.614660232220004,0.1751496816124849,9000000000,22.920490414282632,0.16776140546262752
1958,137104413270,25.64400861314976,0.029348380929757667,9630000000,22.988149062756445,0.06765864847381309
1959,152834681910,25.752622663774495,0.10861405062473395,10140000000,23.039753835109448,0.051604772353002204
1960,161017459960,25.80477864300745,0.05215597923295334,11280000000,23.146297083016325,0.10654324790687753
1961,176332604030,25.89563784419232,0.09085920118486968,13360000000,23.31553100505491,0.16923392203858612
1962,186820935960,25.95341643333467,0.05777858914235168,14080000000,23.36802118767631,0.05249018262139771
1963,200768760460,26.02541963726247,0.07200320392779958,15880000000,23.4883262927654,0.12030510508909131
1964,230580357320,26.163865260407405,0.13844562314493558,18170000000,23.623037719354492,0.1347114265890923
1965,268953492670,26.317804311898502,0.153939051491097,20350000000,23.736346748835015,0.11330902948052213
1966,283600217490,26.370831398494076,0.053027086595573536,22870000000,23.8530918449811,0.11674509614608652
1967,321058234240,26.49488835870058,0.1240569602065058,26920000000,24.01613534172294,0.16304349674183882
1968,376012066530,26.65288707165648,0.15799871295589796,30320000000,24.135073397720582,0.11893805599764207
1969,398140919030,26.71007184747817,0.057184775821689016,33960000000,24.248449198389558,0.11337580066897601
1970,438359962630,26.80630624229203,0.09623439481386242,39710000000,24.40486888208957,0.1564196837000118
1971,468168622910,26.872094373332917,0.0657881310408861,46840000000,24.570003375675928,0.16513449358635768
1972,501199112460,26.940269289136747,0.06817491580383006,52630000000,24.6865521363121,0.11654876063617081
1973,552453366230,27.03763486176244,0.09736557262569434,61150000000,24.83659569907959,0.1500435627674932
1974,672406564750,27.234129001595022,0.19649413983258057,73990000000,25.02719578588387,0.19060008680427742
1975,793778760990,27.400070620814976,0.16594161921995365,87620000000,25.196275119332164,0.16907933344829473
1976,852124496860,27.470998476175907,0.0709278553609316,108770000000,25.41250139805217,0.21622627872000777
1977,918116831150,27.545590486517067,0.07459201034115992,131730000000,25.604020210188146,0.19151881213597477
1978,1040235198690,27.670467956099728,0.12487746958266044,149390000000,25.72982617300064,0.12580596281249257
1979,1126713683360,27.75032626667756,0.07985831057783344,182850000000,25.9319319815418,0.20210580854116245
1980,1235621792690,27.84259543516939,0.09226916849182842,215370000000,26.09562331620291,0.16369133466110952
1981,1470628683720,28.01671110129188,0.1741156661224892,253710000000,26.25945771940865,0.1638344032057404
1982,1727755053220,28.177844024653908,0.1611329233620289,296820000000,26.416391731414084,0.15693401200543278
1983,1932545634080,28.289859231142117,0.11201520648820917,354930000000,26.595186423880094,0.17879469246600976
1984,2250742389630,28.4422812286697,0.15242199752758268,412940000000,26.746568140903143,0.1513817170230496
1985,2521882497860,28.556026761529424,0.11374553285972411,489530000000,26.916711584066583,0.17014344316343966
1986,2845340853900,28.67670398437964,0.12067722285021532,560670000000,27.052398334096733,0.13568675003014974
1987,3183659412850,28.78905240986316,0.1123484254835212,633080000000,27.173862633411492,0.12146429931475922
1988,3618647035300,28.917121324750656,0.12806891488749628,705360000000,27.281974147725183,0.10811151431369126
1989,4293629901200,29.088153621917442,0.1710322971667857,847190000000,27.465190827575654,0.18321667985047085
1990,4932776135720,29.226923056189527,0.13876943427208488,1014530000000,27.64544656699241,0.18025573941675432
1991,5761092055690,29.3821481656676,0.15522510947807433,1163010000000,27.782032587880387,0.13658602088797878
1992,6622604835400,29.521509888152316,0.1393617224847148,1255920000000,27.858889487678475,0.07685689979808785
1993,7611959317360,29.66074172080797,0.13923183265565342,1519820000000,28.049613022721775,0.19072353504330053
1994,8759924253770,29.801208374009555,0.14046665320158525,1644180000000,28.128262895620143,0.07864987289836733
1995,10275700589250,29.960803057855045,0.1595946838454907,2115600000000,28.380359576138236,0.2520966805180933
1996,12055826758200,30.1205692073917,0.15976614953665447,2540150000000,28.56324425033342,0.18288467419518284
1997,13948159747010,30.266368697716945,0.14579949032524553,2784010000000,28.654913450348293,0.09166920001487355
1998,15452938758440,30.36882031208677,0.10245161436982286,3240790000000,28.80683824317227,0.15192479282397642
1999,17722970117150,30.505882660894503,0.13706234880773494,3688370000000,28.93620574197025,0.1293674987979827
2000,19882615728980,30.620866884406052,0.11498422351154858,4359580000000,29.103396838374202,0.16719109640395047
2001,21398856906320,30.694358620937166,0.07349173653111407,5114340000000,29.263069474748697,0.15967263637449491
2002,23152429571010,30.77312084002573,0.07876221908856351,5897230000000,29.405503865069143,0.1424343903204459
2003,24926137846820,30.84693808155976,0.07381724153403013,7292150000000,29.6178195430216,0.2123156779524571
2004,27925301413900,30.960554254519383,0.1136161729596239,8407850000000,29.760186909191823,0.14236736617022316
2005,31863319237460,31.092476596950615,0.13192234243123124,11004280000000,30.02930540395977,0.26911849476794814
2006,36321246607130,31.22342399195616,0.13094739500554553,15070770000000,30.343778222152164,0.31447281819239237
2007,42546289837870,31.38161377179649,0.1581897798403311,19311890000000,30.591742084327155,0.24796386217499133
2008,48986620590550,31.522568327582015,0.14095455578552318,23619140000000,30.793078516212727,0.20133643188557215
2009,55141523846620,31.640924157098446,0.11835582951643175,27755490000000,30.954454774391504,0.16137625817877677
2010,63664065417160,31.784641397150292,0.1437172400518456,32447880000000,31.110656225665576,0.1562014512740717
2011,76344721043680,31.966280003666196,0.1816386065159037,39420830000000,31.30531547273334,0.19465924706776505
2012,87363287113730,32.101096254434864,0.13481625076866877,46118520000000,31.462235720615027,0.15692024788168624
2013,99440131041530,32.230576880925085,0.12948062649022063,52604590000000,31.59382449422249,0.13158877360746146
2014,112335216116390,32.35250851815237,0.12193163722728428,59940960000000,31.724381193704826,0.13055669948233728
2015,124679590000000,32.45676828240393,0.1042597642515588,65364200000000,31.810995823901667,0.08661463019684135
2016,137718740000000,32.55623460535905,0.09946632295512359,72496150000000,31.914554572930864,0.10355874902919737
2017,153916690000000,32.66743259793696,0.11119799257790675,78414660000000,31.993032015600416,0.07847744266955203
2018,170900420000000,32.7721021636246,0.10466956568764374,86254250000000,32.088320445988344,0.095288430387928
2019,188996684445858,32.87275058821981,0.10064842459520662,97717220000000,32.21309891328468,0.12477846729633768
2020,201035928565946,32.93450475709822,0.06175416887840868,103708610000000,32.27260625568268,0.05950734239799971
2021,198540960064970,32.922016542703346,-0.012488214394871022,109495090000000,32.32690082399711,0.05429456831442536
2022,235973985282904,33.09474268302608,0.17272614032273026,118913140000000,32.40941442655534,0.08251360255822959
2023,268904725712225,33.225378253285555,0.13063557025947858,136752353300000,32.549192765857704,0.13977833930236727
2024,301229558976518,33.338893744411365,0.11351549112580983,164321639300000,32.73284683832485,0.18365407246714938
2025,330681453690088,33.43217665236629,0.09328290795492222,182439723299999,32.83744095110788,0.1045941127830261
