year,period_label,nominal_gdp,log_nominal_gdp,nominal_gdp_growth,bank_credit,log_bank_credit,log_bank_credit_growth,leverage_ratiotrc_to_ta,growth_in_leverage_ratio,total_assets,tier_i_capital,tier_ii_capital,total_regulatory_capital,capital_log_level,total_rwa,crar,crar_growth,mandatory_crar,capital_requirement,capital_surplus,capital_surplus_ratio,capital_surplus_ratio_growth,risk_weights,change_in_rw,net_npa,log_net_npa,net_npa_growth,net_npa_ratio,leverage_level,leverage_growth,total_assets_lev,total_assets_growth,repos_level,repos_growth,deposits_level,deposits_growth,loan_to_nominal_gdp,credit_to_deposit_ratio
2002,2002,24926137846820,30.84693808155976,,5897230000000,29.405503865069143,,0.0600480306243129,,15355120000000,632074854000,289969862000.0,922044716000.0,27.54985955824237,7673214264000,0.1201640778266686,,0.09,690589283760.0,231455432240.0,0.0301640778266686,,0.4997169845628038,,351709817000.0,26.586072289030817,,0.0596398337863708,2.9063501250966794,-0.0441754104426976,30.36247008483476,0.1703724859663111,28.542737400956312,0.369397808172792,30.1182,0.1308,0.2547132248869525,0.534
2003,2003,27925301413900,30.960554254519383,0.1136161729596239,7292150000000,29.6178195430216,0.2123156779524571,0.0630824899543007,0.0030344593299878,16967460000000,713932815000,356416810000.0,1070349625000.0,27.69900646336689,8443152043000,0.1267713313166496,0.0549852635619742,0.09,759883683870.0,310465941130.0,0.0367713313166496,0.2190437754453532,0.4976084837094061,-0.0021085008533976,332518246000.0,26.5299605707247,-0.0561117183061163,0.0455994797144874,2.858350037422941,-0.0480000876737385,30.462318508073484,0.0998484232387255,28.522166332667457,-0.0205710682888558,30.2379,0.1197,0.2925503359089507,0.569
2004,2004,31863319237460,31.09247659695061,0.1319223424312312,8407850000000,29.760186909191823,0.1423673661702231,0.0634102453319478,0.000327755377647,19747530000000,785222219000,466973503000.0,1252195722000.0,27.855919703864625,9697742854000,0.1291223886683601,0.018545654820316,0.09,872796856860.0,379398865140.0,0.0391223886683601,0.0639372377210063,0.4910863715107662,-0.0065221121986399,245490390000.0,26.226523638811965,-0.303436931912735,0.0291977604262683,2.8353328153622,-0.0230172220607407,30.614049536163478,0.1517310280899906,28.67238204526094,0.1502157125934822,30.3882,0.1503,0.3010835899452436,0.5589999999999999
2005,2005,36321246607130,31.22342399195616,0.1309473950055455,11004280000000,30.02930540395977,0.2691184947679481,0.0704275013595787,0.0070172560276309,23555090000000,1089152602000,569773531000.0,1658926133000.0,28.13719160113052,12960690295000,0.1279967420901943,-0.0087176715810059,0.09,1166462126550.0,492464006450.0,0.0379967420901943,-0.0287724399373428,0.5502288590279214,0.0591424875171552,212099112000.0,26.0803195118039,-0.1462041270080654,0.0192742380237507,2.756486894819009,-0.0788459205431912,30.790363048918085,0.1763135127546107,28.934860069487225,0.2624780242262829,30.542,0.1538,0.3453588723130532,0.647
2006,2006,42546289837870,31.38161377179649,0.1581897798403311,15070770000000,30.343778222152164,0.3144728181923923,0.0794452064943609,0.0090177051347822,27858630000000,1665709480000,547525133000.0,2213234613000.0,28.425476187193816,17969921067000,0.1231632907427951,-0.0377622997934845,0.09,1617292896030.0,595941716970.0,0.0331632907427951,-0.1272069941134922,0.6450396543907579,0.0948107953628365,197584480000.0,26.009432076665437,-0.0708874351384665,0.0131104435937911,2.7218437027121603,-0.0346431921068486,30.95816390862746,0.1678008597093736,29.10807212341932,0.1732120539320973,30.7059,0.1638,0.4149298663400377,0.715
2007,2007,48986620590550,31.52256832758201,0.1409545557855231,19311890000000,30.591742084327155,0.2479638621749913,0.0855010999828611,0.0060558934885001,34599630000000,2000399795000,957906629000.0,2958306424000.0,28.71563806646787,24110714058000,0.122696757005354,-0.0037879284860562,0.09,2169964265220.0,788342158780.0,0.032696757005354,-0.0140677757542023,0.6968488986153898,0.0518092442246318,207127238000.0,26.056599117704167,0.0471670410387332,0.0107253737464328,2.759124426788216,0.037280724076055,31.17486410429343,0.2167001956659717,29.3245188872382,0.2164467638188831,30.9257,0.2198,0.4539030329928014,0.7390000000000001
2008,2008,55141523846620,31.640924157098446,0.1183558295164317,23619140000000,30.793078516212727,0.2013364318855721,0.0939120809280087,0.0084109809451476,43261660000000,2827818968000,1234973547000.0,4062792515000.0,29.03289166468457,31289255432000,0.1298462510183262,0.0582696249474647,0.09,2816032988880.0,1246759526120.0,0.0398462510183262,0.2186606461246746,0.7232560061726712,0.0264071075572813,248106519000.0,26.23712400299425,0.1805248852900831,0.010504468790989,2.618316332014768,-0.1408080947734475,31.398287908347857,0.2234238040544269,29.563434882887453,0.2389159956492506,31.1336,0.2079,0.4821549173072854,0.7390000000000001
2009,2009,63664065417160,31.78464139715029,0.1437172400518456,27755490000000,30.954454774391504,0.1613762581787767,0.0930268350270929,-0.0008852459009158,52386420000000,3332812367000,1540530484000.0,4873342851000.0,29.21480123458974,34889368216000,0.1396798824452522,0.0757328867780565,0.09,3140043139440.0,1733299711560.0,0.0496798824452522,0.2467893760545572,0.6660002385351013,-0.0572557676375699,321147738000.0,26.49516709718776,0.2580430941935105,0.0115706023565067,2.6558786773642358,0.0375623453494675,31.58966851336237,0.1913806050145083,29.719786554669103,0.1563516717816533,31.3356,0.202,0.5033500720292721,0.7240000000000001
2010,2010,76344721043680,31.9662800036662,0.1816386065159037,32447880000000,31.110656225665576,0.1562014512740717,0.0941411040455953,0.0011142690185024,60269250000000,3950998952000,1722814783000.0,5673813735000.0,29.366882623965296,39013952312000,0.1454303755135015,0.0411690858238168,0.09,3511255708080.0,2162558026920.0,0.0554303755135014,0.1157509395193585,0.6473276556784762,-0.018672582856625,374076226000.0,26.647725426428156,0.1525583292403922,0.0115285259314321,2.639834976902204,-0.0160437004620312,31.729843139344084,0.140174625981718,29.770904909855325,0.0511183551862188,31.4911,0.1555,0.5096733893348571,0.722
2011,2011,87363287113730,32.101096254434864,0.1348162507686687,39420830000000,31.30531547273334,0.194659247067765,0.0933139110766241,-0.0008271929689712,71833980000000,4745029337000,1958080285000.0,6703109622000.0,29.533592657340417,47248663350000,0.1418687672145544,-0.0244901265390489,0.09,4252379701500.0,2450729920500.0,0.0518687672145544,-0.0642537285008927,0.6577480928941986,0.0104204372157223,400653346000.0,26.716362416564547,0.0686369901363939,0.0101634934119854,2.645273958474423,0.0054389815722188,31.905378739083908,0.175535599739824,29.989612181178988,0.2187072713236624,31.6592,0.1681,0.5163530557331619,0.757
2012,2012,99440131041530,32.230576880925085,0.1294806264902206,46118520000000,31.462235720615027,0.1569202478816862,0.0935054724915243,0.0001915614149001,83208900000000,5671616139000,2108871371000.0,7780487510000.0,29.6826401141094,54620632583000,0.1424459428985372,0.0040683773836556,0.09,4915856932470.0,2864630577530.0,0.0524459428985372,0.0111276152293213,0.6564277689405821,-0.0013203239536164,622825420000.0,27.15753209174448,0.4411696751799319,0.0135048874074883,2.61542734533705,-0.0298466131373729,32.05237542918855,0.1469966901046433,30.163749206857048,0.1741370256780605,31.7982,0.139,0.5278935983711632,0.78
2013,2013,112335216116390,32.35250851815237,0.1219316372272842,52604590000000,31.59382449422249,0.1315887736074614,0.0925885211220534,-0.0009169513694708,95899530000000,6580240352000,2298955307000.0,8879195659000.0,29.814732089888665,63966179941000,0.1388107851241052,-0.0255195599148885,0.09,5756956194690.0,3122239464310.0,0.0488107851241052,-0.0693124686777898,0.6670124445969652,0.0105846756563831,902896238000.0,27.528873475676797,0.3713413839323145,0.0171638299623664,2.6047356347469304,-0.0106917105901196,32.194322196867454,0.1419467676789025,30.306107945815786,0.1423587389587339,31.9391,0.1409,0.5290076496181437,0.779
2014,2014,124679590000000,32.45676828240393,0.1042597642515588,59940960000000,31.724381193704826,0.1305566994823372,0.0838065527847346,-0.0087819683373187,109759290000000,7109914691000,2088633040000.0,9198547731000.0,29.850066732196996,70649094960000,0.1302005034347293,-0.0620289099415275,0.09,6358418546400.0,2840129184600.0,0.0402005034347293,-0.1764012127132056,0.6436730317770823,-0.0233394128198828,1357502517000.0,27.93666774289643,0.4077942672196357,0.0226473269196889,2.6115002159553846,0.0067645812084542,32.32931081122631,0.1349886143588534,30.426383537651294,0.1202755918355116,32.0776,0.1385,0.5335901071120516,0.778
2015,2015,137718740000000,32.55623460535905,0.0994663229551235,65364200000000,31.810995823901667,0.0866146301968413,0.0863571651835579,0.0025506123988232,120369910000000,8276042947000,2118761254000.0,10394804201000.0,29.97232720117849,80343866897000,0.1293789383367125,-0.0063099993958832,0.09,7230948020730.0,3163856180270.0,0.0393789383367125,-0.0204366868029589,0.6674746778243832,0.0238016460473008,2217277848000.0,28.427301364826437,0.4906336219300051,0.0339218998779148,2.5882071178377863,-0.0232930981175982,32.4215907006253,0.0922798893989949,30.46336172632233,0.0369781886710356,32.1779,0.1003,0.5242574185558359,0.7659910000000001
2016,2016,153916690000000,32.66743259793696,0.1111979925779067,72496150000000,31.914554572930864,0.1035587490291973,0.0887079990241665,0.0023508338406085,131292890000000,9454543195000,2192186363000.0,11646729558000.0,30.086046531894528,87466134551000,0.1331570169161756,0.029201650809891,0.09625,8418615450533.75,3228114107466.25,0.0369070169161756,-0.0627726781103277,0.6661909456863963,-0.0012837321379869,3246514582000.0,28.80860310049121,0.3813017356647776,0.0447818895486174,2.573543384216606,-0.0146637336211803,32.5084517449714,0.0868610443460937,30.644266633433524,0.180904907111195,32.2454,0.0675,0.5264072993987601,0.777248
2017,2017,170900420000000,32.7721021636246,0.1046695656876437,78414660000000,31.993032015600416,0.078477442669552,0.0893066951909142,0.0005986961667477,141746070000000,10414246277000,2244626791000.0,12658873068000.0,30.169379513516617,92677378415000,0.1365907547720527,0.0257871341323208,0.1025,9499431287537.5,3159441780462.5,0.0340907547720527,-0.0763069567643257,0.6538267933283795,-0.0123641523580168,3991582845177.0,29.01520897121635,0.2066058707251379,0.0509035280542821,2.547020940398884,-0.026522443817722,32.585058333284344,0.0766065883129485,30.6030138225998,-0.0412528108337255,32.3416,0.0962,0.5094617094481436,0.72892
2018,2018,188996684445858,32.87275058821981,0.1006484245952066,86254250000000,32.088320445988344,0.095288430387928,0.0866692045155985,-0.0026374906753157,152550320000000,11147037552000,2074377331000.0,13221414883000.0,30.21285897057076,95595662513000,0.1383055939510019,0.0125545772245785,0.10875,10396028298288.75,2825386584711.25,0.0295555939510019,-0.1330319862782465,0.626650029400135,-0.0271767639282444,4832420765000.0,29.206368651619258,0.1911596804029081,0.0560253061733189,2.546013720613562,-0.0010072197853219,32.65851562476192,0.0734572914775739,30.751238802829707,0.1482249802299087,32.4012,0.0596,0.5047047280515753,0.754891
2019,2019,201035928565946,32.93450475709822,0.0617541688784086,97717220000000,32.21309891328468,0.1247784672963376,0.0848873937228176,-0.0017818107927809,166010470000000,12051813211000,2040382918000.0,14092196129000.0,30.276642294065443,98467683561000,0.1431149349651349,0.0347732935215676,0.10875,10708360587258.75,3383835541741.25,0.0343649349651349,0.1627218529969652,0.5931414058462698,-0.0335086235538651,3369068098481.62,28.845657293411254,-0.3607113582080039,0.0344777317496508,2.5235660306309957,-0.0224476899825667,32.74307197458528,0.0845563498233588,30.80215312900968,0.0509143261799707,32.4898,0.0886,0.5170313981248339,0.777151
2020,2020,198540960064970,32.922016542703346,-0.012488214394871,103708610000000,32.27260625568268,0.0595073423979997,0.085665086031606,0.0007776923087883,180144260000000,13193326760000,2238746771000.0,15432073531000.0,30.36746915635992,104691517968000,0.1474051941411047,0.0299777180978005,0.10875,11385202579020.0,4046870951980.0,0.0386551941411047,0.1248440941419667,0.5811537817968777,-0.0119876240493921,2745732999000.0,28.64106918584481,-0.2045881075664439,0.0264754584889335,2.5038642761500043,-0.0197017544809909,32.82477909027809,0.081707115692815,30.876098658018144,0.0739455290084656,32.5709,0.0811,0.515871022357978,0.7644
2021,2021,235973985282904,33.09474268302608,0.1727261403227302,109495090000000,32.32690082399711,0.0542945683144253,0.0914422345489875,0.0057771485173815,195788950000000,15548033695000,2355345393000.0,17903379088000.0,30.516010586825256,109866320123000,0.162956027542894,0.1054971874797238,0.115,12634626814145.0,5268752273855.0,0.047956027542894,0.2406101846969898,0.5611466843404594,-0.0200070974564182,2455214534000.0,28.52923525991509,-0.1118339259297158,0.022423055992739,2.4536449591135074,-0.0502193170364968,32.90805840929454,0.083279319016448,30.77309537494376,-0.1030032830743827,32.6796,0.1087,0.5514987434540919,0.72448473
2022,2022,268904725712225,33.225378253285555,0.1306355702594785,118913140000000,32.40941442655534,0.0825136025582295,0.0907926337947748,-0.0006496007542127,216746880000000,17195448050000,2483572052000.0,19679020102000.0,30.61057421474797,117328181922000,0.1677262851910775,0.0292732813883051,0.115,13492740921030.0,6186279180970.0,0.0527262851910775,0.0994714927944522,0.5413142829183977,-0.0198324014220617,1957081829000.0,28.302475616958365,-0.2267596429567291,0.0164580788044113,2.431941373452805,-0.0217035856607026,33.00975133702193,0.1016929277273916,30.88509920617747,0.1120038312337072,32.7774,0.0978,0.5039247858505999,0.72220396
2023,2023,301229558976518,33.338893744411365,0.1135154911258098,136752353300000,32.549192765857704,0.1397783393023672,0.0945977622613839,0.0038051284666091,243184293688000,19975664683000,3029025317000.0,23004690000000.0,30.766719224113736,134052873561000,0.1716090777385077,0.0231495769610997,0.115,15416080459515.0,7588609540485.0,0.0566090777385077,0.0736405482267365,0.5512398499427221,0.0099255670243244,1312746109004.48,27.903142325456542,-0.3993332915018222,0.0095994407213208,2.417254030951046,-0.0146873425017588,33.12484068206006,0.1150893450381289,31.059123687617213,0.1740244814397442,32.8816,0.1042,0.5085531797100096,0.7578946000000001
2024,2024,330681453690088,33.43217665236629,0.0932829079549222,164321639300000,32.73284683832485,0.1836540724671493,0.0970787128938718,0.0024809506324879,280805502375000,23910821963158,3349414780924.08,27260236744082.08,30.936450226828413,161919358714550,0.1683568719669866,-0.0189512455540184,0.115,18620726252173.25,8639510491908.828,0.0533568719669866,-0.0574502518225769,0.5766245936958735,0.0253847437531513,1028898276455.04,27.659509711193174,-0.2436326142633689,0.0062614898490429,2.372371741454536,-0.0448822894965097,33.268683383240784,0.1438427011807235,31.24956818430677,0.1904444966895582,33.0125,0.1308,0.5455030371465288,0.8025388200000001
